实验,n_feat,方法,Fano天花板,Acc,Tol±1,QWK,MAE
四因子(现方案),4,TOPSIS+熵权,78.8%,21.3%,53.8%,0.098,1.622
四因子(现方案),4,RandomForest,78.8%,74.1%,95.1%,0.869,0.316
四因子(现方案),4,LogisticAT,78.8%,32.5%,78.2%,0.182,0.975
去温三因子,3,TOPSIS+熵权,75.4%,12.8%,37.1%,-0.298,2.089
去温三因子,3,RandomForest,75.4%,71.2%,93.4%,0.832,0.369
去温三因子,3,LogisticAT,75.4%,28.5%,79.0%,0.142,1.005
全因子(9参数),9,TOPSIS+熵权,100.0%,27.5%,71.1%,0.559,1.105
全因子(9参数),9,RandomForest,100.0%,99.1%,99.9%,0.995,0.011
全因子(9参数),9,LogisticAT,100.0%,60.1%,96.2%,0.796,0.456
